Name,Population
AW,105845
AF,37172386
AO,30809762
AE,9630959
AR,44494502
AG,96286
AU,24982688
AT,8840521
BE,11433256
BJ,11485048
BF,19751535
BD,161356039
BG,7025037
BH,1569439
BS,385640
BA,3323929
BY,9483499
BZ,383071
BO,11353142
BR,209469333
BB,286641
BW,2254126
CA,37057765
CH,8513227
CL,18729160
CI,25069229
CM,25216237
CO,49648685
CR,4999441
CZ,10629928
DE,82905782
DK,5793636
DO,10627165
EC,17084357
EG,98423595
ES,46796540
EE,1321977
FI,5515525
FJ,883483
FR,66977107
GA,2119275
GB,66460344
GE,3726549
GH,29767108
GW,1874309
GR,10731726
GT,17247807
HK,7451000
HN,9587522
HR,4087843
HT,11123176
HU,9775564
ID,267663435
IN,1352617328
IE,4867309
IQ,38433600
IL,8882800
IT,60421760
JM,2934855
JO,9956011
JP,126529100
KZ,18272430
KE,51393010
KG,6322800
KH,16249798
KR,51606633
KW,4137309
LA,7061507
LB,6848925
LY,6678567
LI,37910
LK,21670000
LT,2801543
LU,607950
LV,1927174
MD,2706049
MX,126190788
ML,19077690
MT,484630
MM,53708395
MN,3170208
MZ,29495962
MU,1265303
MY,31528585
NA,2448255
NE,22442948
NG,195874740
NI,6465513
NL,17231624
NO,5311916
NP,28087871
NZ,4841000
OM,4829483
PK,212215030
PA,4176873
PE,31989256
PH,106651922
PG,8606316
PL,37974750
PR,3195153
PT,10283822
PY,6956071
QA,2781677
RO,19466145
RW,12301939
SA,33699947
SN,15854360
SG,5638676
SV,6420744
SK,5446771
SL,2073894
SE,10175214
TG,7889094
TH,69428524
TJ,9100837
TT,1389858
TR,82319724
TZ,56318348
UG,42723139
UY,3449299
US,326687501
VE,28870195
VN,95540395
YE,28498687
ZA,57779622
ZM,17351822
ZW,14439018
